항목명1,kor_pi,ger_pi,jap_pi,usa_pi
1989-01-01,19.0,67.3,98.9,61.9
1989-02-01,18.9,67.0,98.3,61.6
1989-03-01,19.1,67.5,101.8,61.8
1989-04-01,18.1,69.6,100.2,61.7
1989-05-01,19.3,66.2,100.3,61.4
1989-06-01,19.6,68.9,101.5,61.4
1989-07-01,19.7,69.2,99.4,60.8
1989-08-01,20.4,69.1,101.1,61.4
1989-09-01,19.9,69.4,100.8,61.2
1989-10-01,19.8,69.6,100.2,61.1
1989-11-01,20.1,69.9,100.9,61.3
1989-12-01,20.0,71.1,101.5,61.7
1990-01-01,19.8,71.0,100.9,61.4
1990-02-01,20.2,70.7,101.4,61.9
1990-03-01,20.8,71.3,103.2,62.2
1990-04-01,20.7,70.1,103.4,62.1
1990-05-01,20.4,71.9,104.1,62.3
1990-06-01,20.8,71.9,104.5,62.5
1990-07-01,21.4,72.6,105.4,62.4
1990-08-01,22.0,73.0,106.3,62.6
1990-09-01,21.9,73.7,105.4,62.6
1990-10-01,21.9,73.8,107.5,62.2
1990-11-01,22.0,73.8,106.8,61.5
1990-12-01,22.4,74.1,106.9,61.0
1991-01-01,22.3,76.4,107.6,60.8
1991-02-01,22.4,75.5,108.0,60.4
1991-03-01,22.4,75.0,107.0,60.1
1991-04-01,22.7,74.4,107.4,60.2
1991-05-01,22.6,73.2,108.5,60.8
1991-06-01,22.5,76.4,105.4,61.3
1991-07-01,23.2,74.2,107.7,61.5
1991-08-01,24.0,73.0,106.0,61.5
1991-09-01,23.8,72.8,106.1,62.0
1991-10-01,24.0,73.9,105.4,61.9
1991-11-01,24.2,74.7,106.1,61.8
1991-12-01,24.2,74.8,104.7,61.6
1992-01-01,24.1,75.7,103.9,61.2
1992-02-01,24.7,77.0,103.6,61.7
1992-03-01,24.7,74.8,102.1,62.2
1992-04-01,24.4,74.7,101.6,62.6
1992-05-01,24.2,74.2,99.3,62.8
1992-06-01,24.6,73.0,101.3,62.9
1992-07-01,25.0,71.7,101.1,63.4
1992-08-01,24.8,71.9,98.2,63.1
